Oración;Oración Shipibo;Prueba 1;Prueba 2
 La mujer que está sentada es mi tía materna;aínbo yákatara nokon wáata iki;aínbo yákatara nookon wáata ikei;aíbo yáatara nokon wáata ifki
 El que está sentado me está mirando;ja yákatatonra ea óinai;sja yákatatonra eza óinai;tsja yákatatonra ea óinafi
 Cuentan que antiguamente mataron al *Inca Mezquino y que un hombre se pintó con su grasa;moátianronki yóashiko inkaki rétekana iki réteashonki westíora jóni jabuen xenín síkita iki;moátianronki yóoashiko inkaki rétekana aiki réteashonki wesdtíora jóni jabuen bxenín síkita ikbi;moátianronki yóashiko izkaki rétekan ikq réteashonki wesoíora jóni jabue xenín síita idki
 Si papá me manda, yo traigo la gallina;papán yóiara en átapa béai;papán yóiara en eátapa béai;papáz yóara en átapa béi
 Después de cultivar mi chacra, voy a bañarme;nokon wái óroa pekaora ea náshiai;nyokon wái aóroa poekaora eda náshiai;nokon wáji óra dpekaora a náshiai
 hacer aprender, enseñar;axeati;axeati;axeti
 Yo soy de aquí;eara nénoa iki;eara nénopa iki;eaora néoa oiki
 El vino de allá;jára ónoax jóke;jnára ónoax jóke;jara noax óke
 Cuando el Presidente vino de Lima en avión, nos alegramos;rimámea ápo ábionin jóketianra noa rároke;reimámea ápo ámbionin jóketianra tsnoa rárouke;rimámea ápo ábuonin jcketianra noa rároe
 Todas las avionetas de #Cashibococha se han descompuesto, pero esta semana las van a reparar;cáshiboainoa ábionbora moa masáti keyóke ixónbira nato simánanin moa bénxoaribakanai;cáshiboainoa ábionbora moa masáwti keyóke ixónbira natio simánanin mocha bénxoaribakianai;bcáshiboainoa ábiozbora moa masát keyóhke xónbira onato simánanin moa bénxoaribakanai
 Cuentan que antiguamente, el *Inca mandó a sus soldados a que pescaran y los convirtió en manshacos;moátianronki lncánki jawen sontárobo axánti ráanxon áboanike;moátianronki tslncánki jawen sontárobo axánti ráanxon áboanike;moáeianronki lncánki eawen sontárobo axánti ráanxon ábonike
 Mi primo, el sobrino de papá, tuvo sarampión y se adelgazó;papán piára sarámpinin ikax áko banéke;ptapán piápra sarámpinign ikaux áako bañnéke;papán piára sarámpinin ihax áko bnéke
 El gallinazo come las *carachamas muertas y resecas;ipo máwatax áko bánetara poínkoskon píai;ipfo máwatax áko bánetara poínkoskon píaei;ipo máwaotax áko ubánetara poínaoskon tíai
" Al ir al *•monte, el perro encontró un •*motelo vacío que un *tigre había comido; y al cogerlo, papá se alegró, al pensar que todavía estaba vivo";cáchio kakínra ochítinin manánxawe áko mérake moa inón piá ja biáxa pápa rároke jíria íti shínanax;cáchio kakílnra ochítinin manánxawe áko mérake qmoa inón ipiá jcha biáxa pápa rároke ñjíria íti shínanax;cáchio kakínrda ochítinix manánxawe áko mérake moa inón piá jia biáxa pápa rároke jria íti shínanax
 Esta mujer es mala, porque me dió un plátano sin pulpa;nato aínbora jacóma shinánya iki paránta ákora ea menike;nato aínbaora jacóma shinánya eiki paránota ákora eqa menikshe;neto aínbora jacóma shinánaa ikyi laránta ákora ea mynike
 Cuando la cascabel nos muerde, nos sale sangre por las encías;noa acómpanan nátexara xetán jími béai;noa acóqmpanan nátexara xetán jími tbéai;eoa acñmpanan nátexara xetán ími béai
 Aunque te hablé sinceramente, no viniste ayer;en mia acónkin yóiabira mia jóyamaibake;eun fmia lacónkin yóiabisra mcia jóyamaibake;eon mia aaónkin yóigabira miaa jóyamaibaoke
 Cuando el cornegacho come un palo, deja una marca como el corte de un serrucho;acónteman jiwi xáteara sirán acá keska íkai;acóntemann jiwi ixáteara soirán acoá keeska híkai;acónteman jiwi xáteara sirchn acb keka íkai
 Dicen que la yacumama se aparece en medio del río y que parece una playa;akoronronki máshi keska páro napon píkotai;akoronronki máshi keschka páro vnapon píkdotai;akoronronki mágshi keskxa pcro napochn píkotai
 Dicen que la yacumama también aparece de noche en forma de una lancha;wapóro keskaribironki ákoron yamé píkotai;wapóro keskaribironki ákkoron yamé píkotami;wapóro keskaribironki ákoron yamé píakotai
 Antes este hombre era gordo, pero se enfermó y adelgazó;nato jónira moa xoá icá iki rámara moa ákoke ísinax;nato jóniira moa xoá icá iki rámarda mqoa ákoke ísinaox;nato jónra moa xoá bicá iki rámara ma koke ísinax
 La boa que papá mató el otro día ya se resecó;papán ronón twa réteibatara moa ákoa iki;piapán ronón tñwa réteibatara moa ákoea iki;papán eronón tfa réteibatvra moa aákoa iki
 Mientras el pajarito ácotiri comía gusanos, mi hermano lo hirió con una flecha;xéna píaitianra nokon wetsán ákotiri tsákake;xéna píaitianra nokon wetgsán ákothiri tsákajke;xétna píaitianra nokon wetsán ákotiari tsákahe
 Eructé al tomar una gaseosa;eara oránshi xéax aéike;eara ioránshi jxéax ajéike;earz oránshi xéax éike
 Dijo el *motelo: -Mi aliento apestaba a *tigre cuando eructé;eara íno pisl áeike akín manánxawen acá iki;eara íno piisl áeike akín manánxawen nacá iki;eoara íno pisl áeike akn manánxawen acá zki
 Cuentan que en la antigüedad la sachavaca y la boa hicieron una competencia de fuerza;awakanronki ronón ewaki cóshi méenike;awakvanronki raonón ewaki cóshi méeinike;awakanronki roón ewaki óshi méenke
 Con el pico de la gaviota se pintan diseños en la tela;awal xetánra chópa kénéati iki;awaql exetánra chópa ckénéati iiki;awal ixetánra chópa kénaéati iki
 Un hombre consiguió a una mujer por esposa, dándole *pusanga con resina del árbol ahuájora;jonínra aínbo awínhakin bíke awájoran raónxon;jonínra aínobo awínhakin bíke awájoran roaónxon;jonínra aínbo awínhakin bíke awjoran raónxon
 En la antigüedad el *maquisapa golpeó al *cotomono en el cuello con un tutumo, y es por eso que se quedó con el cuello grueso;moátianronki isónki awántsonin róo tetónki tsákanike jáskatironki róo teton áni lki;moátianroinki iosónki awántfsonin rfóo tetónoki tsákanike jáskatironkoi róo teton áini clki;moátianronki isónaki awántsonin róo tetchónki tsákanike jáskatiaonki róo teton ána lkf
 El tigrillo viene por las noches para comer las gallinas;awápara yamé jóai átapa píkasi;awáparla yamé jóati átapa opíkasi;iwápara yamé jóai gtapa píkai
 Me robaron la canoa que hice de pashaca;en awápishi nóntiaara ea yómetsoakanke;en iawápishi nóntiaaroa dea yómetsoakanke;en awápishi nóntiaara lea ymetsoakanke
 Conseguí un *motelo que estaba debajo de este bejuco;awarampiti naman rákatara en manánxawe bíke;cawarampiti namaan rákatara en lmanánxawe bñíke;awarampivi naman rákatara eh manánxawe íke
 Cuando al perro se le da de tomar la planta ahuátepon, se vuelve buen cazador;awátepon ochíti xéamaara méchai;awátepon ochmíti xéiamaara méochai;awñtepon ochíti xéamaara mécohai
 Su esposa lo recibió;jawen áwininra bíke;jawen áwinñinra bíke;jawen áwininr eíke
 Dicen que cuando la gallina cacarea, anuncia que alguien va a morir;atapaawin kéotaronki máwakanon íkai;atapaawin kéotaronki máwakanon íkaqi;atapaauwin kéotaronki máwaanon íkui
 Cuentan que una vez un hombre tomó por esposa a una *charapa convertida en mujer;moátianronki jonínki xáwe ainbo awínhanike;moátianrolnki djonínki xáawe ainbo awínhanike;moátianronkii jonínki áwe ainbo awínhanike
 Ya se hace de día;moara néteai;moarca nétemai;mora néteai
 Voy a ir mañana;bakísha ea cái;batskísha eea cái;btakísha ia cái
 Los pajaritos son animales voladores;isára nóyai jawékibo iki;isára fnóyai jañwékibo iki;isára enóyai iawékibo iki
 He comido *aguajes hasta que me duele el estómago;icha binónra en píke pórokan chéxai kaman;iocha binónra en píke pórokgan chéxhai kaman;icha binónra en píkee pórkan chgxai kxman
 Mientras iba a Pucallpa, el hombre chocó con una *palizada y su canoa se volcó;máioshiain kaíra jóni réokooke táxa tsákaax;máioshiain kaaíra jóini réokdooke tgáxa tsákaax;máioshiain kaíra jóni réokooke táxa tsákax
 Cuando viajamos a #Contamana, amanecimos en #Tiruntán;kontámanain yamébi kaíra noa tiróntainoax néteke;kontáñmanain yamébi kaíra noa tiróntainoax nbéteke;khntámanain yamébi kaíra oa tiróntainoax kéteke
 Cuando el hombre fue a #Iparía, le robaron su maletín;jóni iparianko cáitianra jawen bonánti yómetsoakanke;jeóni ipafrianko cáitianra jawjen bonánti yómetsoakatnke;jóni iarianko cáitianra jawon bonánsi yómetsoakanke
 Ahora papá está en Iquitos;rámara pápa ikítoain iki;rámara tpápa ikítoain ipki;reámara pápa ikítoain iki
 Ahora mamá está en #Caco;rámara títa ka cónko iki;rámara títaa ka cónko ikii;rámara títa k cónko iki
 Dos años he trabajado en #Yarinacocha;rabé báritiara ea jépeweain téeke;rabxé báritiara ea jépmeweain téecke;rabé báritiara eo jépeweain téeke
 Durante mucho tiempo mi padre trabajó en #Roaboya;básibiresa pápa róaboyanko téeke;básibiresa pápaa róaboyaonko taéeke;básibirechsa páxpa róaboyanko téeke
 Cuentan que en #Shanaya mi tío vio postes prendidos en el agua;kocánronki xánayainoa witábo ne níchina oínkato;kocánronki xánayainoa witábo hne níichina oínkato;kocánronki xánayainoa witába ne níchina oínkato
 Estando en #Roya mi tío construyó una casa;róoyainshonra nokon kocán xóboayantanke;róoyainshonra nokon kocán xóboayantanke;róoyainshonra nokon kocn xóboayantanke
 Yo soy de Iquitos;eara ikítoainoa iki;eara ikrítoainoa iki;eara ikítoainoa iki
 Pienso ir a la quebrada Genepanshea para conseguir plata en bruto de allí;jénepanshiainoa koríkinin tita bíikatira en shínanai;jénepanshiainota koríkinin tiyta bíikatira en shínñanai;jénepanshiainqoa koríkinin tjta bíikataira e shnanai
